id,name_list_as,name_display_as,name_full_title,name_address_as,latest_party_id,latest_party_name,latest_party_short,latestParty_governmentType,latestParty_isIndependentParty,gender,membershipFrom,membershipFromId,membership_house,membershipStartDate,membershipEndDate,membershipEndReason,membershipEndReasonNotes,membershipEndReasonId,statusIsActive,statusDescription,statusNotes,statusId,status,statusStartDate
172,"Abbott, Ms Diane","Ms Diane Abbott","Rt Hon Diane Abbott MP","Ms Abbott",8,"Independent","Ind","",true,"F","Hackney North and Stoke Newington",3506,1,"1987-06-11T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4212,"Abrahams, Debbie","Debbie Abrahams","Debbie Abrahams MP","Debbie Abrahams",15,"Labour","Lab",3,false,"F","Oldham East and Saddleworth",3670,1,"2011-01-13T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4639,"Afolami, Bim","Bim Afolami","Bim Afolami MP","Bim Afolami",4,"Conservative","Con",0,false,"M","Hitchin and Harpenden",3535,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
1586,"Afriyie, Adam","Adam Afriyie","Adam Afriyie MP","Adam Afriyie",4,"Conservative","Con",0,false,"M","Windsor",3855,1,"2005-05-05T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4741,"Aiken, Nickie","Nickie Aiken","Nickie Aiken MP","",4,"Conservative","Con",0,false,"F","Cities of London and Westminster",3415,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4069,"Aldous, Peter","Peter Aldous","Peter Aldous MP","Peter Aldous",4,"Conservative","Con",0,false,"M","Waveney",3834,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4138,"Ali, Rushanara","Rushanara Ali","Rushanara Ali MP","Rushanara Ali",15,"Labour","Lab",3,false,"F","Bethnal Green and Bow",3320,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4747,"Ali, Tahir","Tahir Ali","Tahir Ali MP","",15,"Labour","Lab",3,false,"M","Birmingham, Hall Green",3327,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4411,"Allan, Lucy","Lucy Allan","Lucy Allan MP","Lucy Allan",4,"Conservative","Con",0,false,"F","Telford",3797,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4573,"Allin-Khan, Dr Rosena","Dr Rosena Allin-Khan","Dr Rosena Allin-Khan MP","Dr Rosena Allin-Khan",15,"Labour","Lab",3,false,"F","Tooting",3806,1,"2016-06-16T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4667,"Amesbury, Mike","Mike Amesbury","Mike Amesbury MP","Mike Amesbury",15,"Labour","Lab",3,false,"M","Weaver Vale",3836,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4788,"Anderson, Fleur","Fleur Anderson","Fleur Anderson MP","",15,"Labour","Lab",3,false,"F","Putney",3689,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4743,"Anderson, Lee","Lee Anderson","Lee Anderson MP","",4,"Conservative","Con",0,false,"M","Ashfield",3296,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4742,"Anderson, Stuart","Stuart Anderson","Stuart Anderson MP","",4,"Conservative","Con",0,false,"M","Wolverhampton South West",3864,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4032,"Andrew, Stuart","Stuart Andrew","Rt Hon Stuart Andrew MP","Stuart Andrew",4,"Conservative","Con",0,false,"M","Pudsey",3688,1,"2010-05-06T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4512,"Ansell, Caroline","Caroline Ansell","Caroline Ansell MP","",4,"Conservative","Con",0,false,"F","Eastbourne",3467,1,"2019-12-12T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4623,"Antoniazzi, Tonia","Tonia Antoniazzi","Tonia Antoniazzi MP","Tonia Antoniazzi",15,"Labour","Lab",3,false,"F","Gower",3499,1,"2017-06-08T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
4362,"Argar, Edward","Edward Argar","Rt Hon Edward Argar MP","Edward Argar",4,"Conservative","Con",0,false,"M","Charnwood",3401,1,"2015-05-07T00:00:00","","","","",true,"Current Member","",0,0,"2019-12-12T00:00:00"
